LShoulderRoll,LElbowRoll,RShoulderRoll,RElbowRoll,HeadYaw,HeadPitch,LShoulderPitch,RShoulderPitch,LElbowYaw,RElbowYaw,HipRoll,HipPitch
0.01,-0.0726988341622884,0.011165554514811491,0.19066597014420533,-0.1682226305275088,-0.0,1.4232972789421912,1.3091421834818437,-1.5707963267948966,1.5707963267948966,0.001165554514811491,-0.0
0.00803858206102192,-0.06519041727280467,0.01,0.1897978207456259,-0.16557862334981777,-0.0,1.426874050655598,1.3119664872037338,-1.5707963267948966,1.5707963267948966,-0.001961417938978081,-0.0
0.00634655254690125,-0.06201425125077125,0.01,0.18661451203426782,-0.17539287875518655,-0.0,1.428735065921379,1.316355464416322,-1.5707963267948966,1.5707963267948966,-0.00365344745309875,-0.0
0.005310096558792497,-0.0574635280346197,0.01,0.18214905719693958,-0.17964672228956535,-0.0,1.431219259650165,1.32218945571968,-1.5707963267948966,1.5707963267948966,-0.004689903441207503,-0.0
0.007883414896450974,-0.05743633757155835,0.01,0.1837496098611484,-0.19889544403535664,-0.0,1.430965037036057,1.3237365580927973,-1.5707963267948966,1.5707963267948966,-0.002116585103549026,-0.0
0.01,-0.05681733172434205,0.010253092634440101,0.17666881529298525,-0.20542571533946707,-0.0,1.4311541530531142,1.3306064991374669,-1.5707963267948966,1.5707963267948966,0.00025309263444010094,-0.0
0.01,-0.05548960632339615,0.01319129473909374,0.16274701917507067,-0.19165176249680274,0.0,1.4324540995207955,1.3406779323693387,-1.5707963267948966,1.5707963267948966,0.0031912947390937405,-0.0
0.01,-0.053856535042012835,0.012959608974654932,0.16244486739703878,-0.14972013753453728,0.0,1.4329641287111547,1.347228805355235,-1.5707963267948966,1.5707963267948966,0.0029596089746549317,-0.0
0.01,-0.05427931991326625,0.012739291640040598,0.14722712381847056,-0.11379577287001315,0.0,1.4342463050595915,1.3624594587599337,-1.5707963267948966,1.5707963267948966,0.002739291640040598,-0.0
0.01,-0.05041240126341697,0.013027732940508387,0.15382207005756715,0.05852234776657653,0.0,1.436042844360999,1.3634619638394918,-1.5707963267948966,1.5707963267948966,0.0030277329405083856,-0.0
0.01,-0.04893638902977749,0.014722967675781646,0.15411779833923567,0.0537756905078114,0.0,1.4366828251604544,1.3633337418265041,-1.5707963267948966,1.5707963267948966,0.004722967675781645,-0.0
0.01,-0.04777692344653606,0.014924068630902027,0.15471806624361462,-0.13559020966436358,0.0,1.4373111207285842,1.3620452595337862,-1.5707963267948966,1.5707963267948966,0.004924068630902027,-0.0
0.01,-0.0466096750095789,0.01561529631582281,0.15247512001389735,-0.17730051753187687,0.0,1.4371883444535052,1.361640927422366,-1.5707963267948966,1.5707963267948966,0.005615296315822809,-0.0
0.01,-0.04619751119619094,0.015559122718144358,0.14802625190187776,-0.19623726683855214,-0.0,1.4378408082693495,1.3584290425222219,-1.5707963267948966,1.5707963267948966,0.005559122718144357,-0.0
0.01,-0.04636020502680107,0.014175620724837829,0.13888090130331032,-0.21328998973174723,-0.0,1.437613035924865,1.3572374901787851,-1.5707963267948966,1.5707963267948966,0.004175620724837828,-0.0
0.01,-0.04646577347466937,0.01337988544703414,0.13908663616683148,-0.22182207368913084,-0.0,1.4376425240952404,1.356270861855384,-1.5707963267948966,1.5707963267948966,0.0033798854470341397,-0.0
0.01,-0.047409507716802204,0.014063668018176947,0.15425759129798705,-0.224339226877394,-0.0,1.4370772924890443,1.3464145006069566,-1.5707963267948966,1.5707963267948966,0.004063668018176946,-0.0
0.01,-0.048167990326796604,0.015974453064040404,0.2598091729366291,-0.23893385904589134,-0.0,1.4364841106036597,1.2669466101012221,-1.5707963267948966,1.5707963267948966,0.005974453064040405,-0.0
0.01,-0.050772015770081995,0.01693801160329642,0.2872715788958567,-0.238377796934916,-0.0,1.4350800096457004,1.248189624557007,-1.5707963267948966,1.5707963267948966,0.006938011603296418,-0.0
0.01,-0.052678553728965634,0.01907952059095804,0.2915730250435272,-0.20531259852860143,0.0,1.4346101029707403,1.2512815468567973,-1.5707963267948966,1.5707963267948966,0.009079520590958038,-0.0
0.01,-0.08086326814577938,0.020014242798362357,0.28913971995200255,-0.18466108468659914,0.0,1.420771994450354,1.2563138919713368,-1.5707963267948966,1.5707963267948966,0.010014242798362357,-0.0
0.01,-0.09402317814079023,0.02058372967279882,0.24428459053916074,-0.17108127160521427,0.0,1.4135556247935666,1.3001195878214222,-1.5707963267948966,1.5707963267948966,0.010583729672798818,-0.0
0.01,-0.08306686381213971,0.01945923140354268,0.22058695639107817,-0.12407623861659338,0.0,1.4198406774634151,1.322059937108665,-1.5707963267948966,1.5707963267948966,0.009459231403542677,-0.0
0.01,-0.059083785829032086,0.01545847286529771,0.1769454211570263,0.051716275977166416,0.0,1.4316530163372403,1.3629940347934208,-1.5707963267948966,1.5707963267948966,0.00545847286529771,-0.0
0.01,-0.06275813014462449,0.013278047598067642,0.1685671964635061,0.05782146672541061,0.0,1.431453235991128,1.3644276742652268,-1.5707963267948966,1.5707963267948966,0.0032780475980676406,-0.0
0.01,-0.06303629109631156,0.012765277223797333,0.147539927106047,0.05925722377336747,0.0,1.4313635512144052,1.36482114769438,-1.5707963267948966,1.5707963267948966,0.0027652772237973335,-0.0
0.01,-0.06409304548974248,0.012998108343903041,0.13067616719404418,0.05860529663707149,0.0,1.4315234480623826,1.3644927911503624,-1.5707963267948966,1.5707963267948966,0.0029981083439030412,-0.0
0.01,-0.06651217444172002,0.01355535030362879,0.1313236359095416,-0.10324481590531798,-0.0,1.4306076689244378,1.3629597875542276,-1.5707963267948966,1.5707963267948966,0.003555350303628789,-0.0
0.01,-0.068622011573664,0.013655037249114967,0.13746804475340016,-0.12396801104219833,-0.0,1.4284461535015622,1.3615743574295631,-1.5707963267948966,1.5707963267948966,0.0036550372491149664,-0.0
0.01,-0.06955695337831896,0.015045918371976632,0.15493445358882307,-0.13507469764857338,-0.0,1.4276594746956597,1.361129194425752,-1.5707963267948966,1.5707963267948966,0.005045918371976632,-0.0
0.01,-0.07196379829713927,0.016222161410021998,0.2063444132079595,-0.13736466500204886,-0.0,1.4254856123634532,1.3273846719494813,-1.5707963267948966,1.5707963267948966,0.006222161410021998,-0.0
